AVIBASEID,yr_db,Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
7E327303,ebird22,0.018941973,0.01910409,0.019362099,0.019715539,0.020156904,0.020671882,0.021240027,0.021835803,0.022429967,0.022991182,0.023487798,0.023889671,0.024169939,0.024306633,0.024284035,0.024093705,0.023735116,0.023215849,0.022551353,0.021764254,0.02088328,0.019941833,0.018976315,0.018024272,0.017122488,0.016305115,0.015601954,0.015036984,0.014627213,0.014381919,0.014302326,0.014381719,0.014606003,0.014954658,0.015402043,0.015918962,0.01647441,0.017037387,0.017578682,0.018072517,0.018497967,0.01884006,0.019090502,0.019247997,0.019318123,0.019312793,0.019249336,0.019149233,0.019036617,0.018936596,0.018873531,0.018869341
C25794D5,ebird22,0.004433305,0.006662283,0.009422947,0.01269211,0.016417878,0.020520649,0.02489574,0.029417526,0.033944861,0.038327506,0.042413219,0.046055106,0.049118837,0.051489324,0.053076495,0.053819832,0.053691424,0.052697365,0.050877425,0.048302996,0.045073446,0.041311078,0.037154974,0.032754074,0.028259869,0.023819117,0.019566985,0.015620984,0.01207603,0.009000888,0.006436177,0.004394024,0.002859355,0.00179272,0.001134466,0.000999023,0.000999023,0.000999023,0.000999023,0.001175695,0.001305546,0.001346499,0.001280887,0.001113887,0.000999023,0.000999023,0.000999023,0.000999023,0.000999023,0.000999023,0.001525107,0.002731141
8EB0C1FA,ebird22,0.026333068,0.027173959,0.027805698,0.028191362,0.028304648,0.02813146,0.02767084,0.026935182,0.025949723,0.024751331,0.023386658,0.021909768,0.02037936,0.018855753,0.0173978,0.016059897,0.014889266,0.013923657,0.013189594,0.012701264,0.012460112,0.012455145,0.012663937,0.013054267,0.01358628,0.014215054,0.014893417,0.015574845,0.016216262,0.016780604,0.017238962,0.01757221,0.017772002,0.017841105,0.017793019,0.017650941,0.017446124,0.017215715,0.017000238,0.016840838,0.016776474,0.016841219,0.017061844,0.01745581,0.018029814,0.01877897,0.019686678,0.02072519,0.021856867,0.023036028,0.024211314,0.025328425
13E9F9B4,ebird22,0.018770378,0.016802188,0.01509797,0.013763608,0.0128816,0.012506194,0.012660188,0.013333592,0.014484225,0.016040208,0.017904217,0.019959241,0.022075503,0.024118159,0.025955305,0.027465835,0.028546688,0.029119064,0.029133229,0.028571654,0.027450271,0.025817795,0.023753131,0.021361019,0.018766173,0.016106241,0.013523995,0.011159208,0.009140679,0.007578877,0.006559617,0.006139148,0.006340924,0.00715426,0.008534932,0.010407709,0.012670647,0.015200916,0.017861811,0.020510545,0.023006376,0.025218593,0.027033904,0.028362796,0.029144506,0.029350311,0.028984954,0.028086125,0.02672203,0.024987194,0.022996747,0.020879522
9BEECB7E,ebird22,0.033288295,0.033830908,0.034126889,0.034158338,0.03391396,0.033389863,0.032590045,0.03152655,0.030219271,0.028695402,0.026988569,0.02513768,0.023185543,0.021177316,0.019158887,0.017175235,0.01526887,0.013478429,0.011837475,0.010373581,0.009107712,0.008053946,0.007219516,0.006605185,0.006205892,0.006011645,0.006008582,0.006180145,0.006508288,0.006974639,0.007561562,0.008253044,0.009035356,0.009897473,0.010831205,0.011831069,0.012893889,0.014018186,0.015203381,0.016448885,0.017753137,0.019112665,0.02052123,0.021969125,0.023442695,0.024924095,0.026391341,0.027818654,0.029177091,0.030435435,0.031561318,0.032522509
A5EC8BF5,ebird22,0.012328772,0.011243478,0.010273156,0.009481143,0.008925405,0.008654994,0.008706952,0.009103848,0.009852093,0.010941137,0.012343604,0.014016357,0.015902447,0.017933832,0.020034731,0.022125408,0.024126187,0.025961476,0.027563566,0.028875993,0.029856295,0.030477977,0.030731612,0.030624998,0.030182374,0.029442754,0.028457457,0.027287013,0.025997591,0.024657179,0.023331742,0.022081556,0.020957948,0.020000631,0.019235764,0.018674861,0.018314606,0.018137566,0.018113766,0.018203015,0.018357854,0.018526922,0.018658567,0.018704453,0.018622962,0.018382183,0.017962303,0.017357243,0.016575467,0.015639869,0.014586779,0.013464111
C9ABA616,ebird22,0.014124006,0.014019634,0.014195927,0.014648989,0.015359069,0.016291615,0.017399183,0.018624096,0.019901699,0.021164018,0.022343625,0.023377466,0.024210443,0.024798549,0.025111359,0.025133742,0.024866697,0.024327262,0.0235475,0.022572628,0.021458388,0.020267822,0.019067632,0.017924342,0.016900478,0.01605099,0.015420125,0.015038934,0.014923545,0.015074313,0.015475898,0.016098246,0.016898435,0.017823271,0.018812474,0.019802278,0.020729227,0.02153395,0.022164693,0.022580397,0.02275315,0.022669863,0.022333078,0.021760848,0.020985717,0.020052831,0.019017322,0.017941082,0.016889149,0.015925882,0.015111183,0.014496952
20C2214E,ebird22,0.035105059,0.034472501,0.033470733,0.03213146,0.03049886,0.0286275,0.026579756,0.024422863,0.022225765,0.020055925,0.017976289,0.016042546,0.01430084,0.012786058,0.011520767,0.010514858,0.0097659,0.009260167,0.008974274,0.008877302,0.008933291,0.009103934,0.009351316,0.009640526,0.009941985,0.010233349,0.010500881,0.010740202,0.010956381,0.011163367,0.011382787,0.011642203,0.011972919,0.012407486,0.012977059,0.013708758,0.014623216,0.015732463,0.017038268,0.01853108,0.020189607,0.021981105,0.02386235,0.025781263,0.0276791,0.0294931,0.031159436,0.032616319,0.033807078,0.034683045,0.035206084,0.03535062
8F268682,ebird22,0.045642326,0.042594341,0.039130142,0.035391645,0.031523466,0.027665575,0.023946398,0.020476755,0.017344947,0.014613287,0.012316215,0.010460114,0.009024794,0.007966528,0.007222451,0.006716026,0.006363237,0.00607913,0.005784284,0.005410829,0.004907626,0.004244304,0.003413895,0.0024339,0.001345723,0.00097925,0.00097925,0.00097925,0.00097925,0.00097925,0.00097925,0.00097925,0.00097925,0.00097925,0.002808855,0.005788245,0.009330913,0.013358084,0.017763777,0.02241909,0.027177841,0.031883249,0.036375299,0.040498387,0.044108826,0.047081798,0.049317365,0.05074522,0.051327899,0.051062298,0.049979404,0.048142265
866903B9,ebird22,0.016723804,0.017288827,0.017719144,0.01798219,0.018058837,0.017944572,0.017649748,0.01719894,0.016629399,0.015988731,0.015331917,0.014717859,0.014205657,0.013850828,0.013701707,0.013796236,0.014159328,0.014800978,0.015715227,0.016880053,0.018258198,0.019798887,0.021440352,0.023113018,0.02474317,0.026256893,0.027584063,0.028662166,0.029439714,0.029879078,0.029958561,0.029673606,0.029037058,0.028078472,0.026842505,0.025386481,0.023777271,0.022087665,0.020392446,0.018764382,0.017270377,0.015967982,0.014902481,0.014104701,0.013589673,0.013356218,0.013387467,0.013652286,0.014107513,0.014700871,0.015374382,0.016068082
D201EB72,ebird22,0.045682893,0.046983162,0.047673277,0.047715162,0.047093623,0.045817413,0.043919126,0.041453905,0.038497044,0.035140603,0.031489222,0.027655357,0.023754201,0.019898555,0.016193939,0.012734184,0.00959775,0.006844958,0.004516259,0.002631629,0.001191088,0.000992015,0.000992015,0.000992015,0.000992015,0.000992015,0.000992015,0.000992015,0.001066911,0.001695022,0.002330787,0.002964625,0.003601275,0.004258915,0.004967303,0.00576505,0.006696218,0.007806441,0.009138814,0.010729823,0.012605562,0.014778489,0.017244926,0.019983492,0.022954563,0.02610083,0.029348951,0.032612217,0.035794099,0.038792502,0.041504493,0.043831237
42393721,ebird22,0.02163606,0.022148771,0.022673858,0.023182439,0.023643917,0.024027767,0.024305368,0.024451761,0.024447221,0.024278573,0.023940152,0.023434357,0.022771763,0.021970782,0.021056887,0.020061436,0.01902017,0.017971454,0.016954376,0.01600679,0.015163427,0.014454173,0.013902613,0.013524915,0.013329122,0.013314889,0.013473674,0.013789369,0.014239339,0.014795798,0.015427449,0.016101287,0.016784463,0.017446101,0.018058965,0.018600877,0.019055809,0.019414591,0.019675192,0.019842561,0.01992805,0.019948444,0.01992467,0.019880257,0.019839647,0.019826456,0.019861788,0.019962717,0.020141013,0.020402201,0.020745007,0.021161233
E0A04985,ebird22,0.000953809,0.000953809,0.000953809,0.000953809,0.000953809,0.000953809,0.000953809,0.00310922,0.007359635,0.012417839,0.018130671,0.024302483,0.030704524,0.037086339,0.043188549,0.048756302,0.053552627,0.057370945,0.06004602,0.061462737,0.061562202,0.060344825,0.057870207,0.054253833,0.049660779,0.044296776,0.038397142,0.032214224,0.026004051,0.020012962,0.014464958,0.009550498,0.005417354,0.002164029,0.000953809,0.000953809,0.000953809,0.000953809,0.000953809,0.000953809,0.001668684,0.003257625,0.004738612,0.00595341,0.006774747,0.007114542,0.006929604,0.006224491,0.005051332,0.003506636,0.001725269,0.000953809
FED3756C,ebird22,0.033635165,0.034458842,0.034866454,0.034864921,0.034477657,0.033742869,0.032711106,0.031442209,0.030001834,0.028457755,0.026876156,0.02531813,0.023836576,0.022473676,0.021259081,0.020208915,0.019325626,0.018598703,0.018006189,0.017516887,0.017093137,0.016693967,0.016278426,0.015808908,0.015254228,0.014592295,0.013812185,0.012915496,0.011916892,0.010843799,0.009735258,0.008639992,0.007613808,0.006716465,0.006008201,0.005546114,0.005380611,0.005552133,0.006088361,0.007002051,0.008289658,0.009930817,0.011888731,0.014111458,0.016534027,0.019081277,0.021671266,0.024219075,0.026640781,0.028857402,0.030798586,0.032405845
31ACA998,ebird22,0.00967267,0.009926903,0.010463591,0.011287059,0.012388208,0.01374449,0.015320602,0.017069915,0.018936517,0.020857804,0.022767444,0.024598575,0.026287042,0.027774516,0.029011296,0.02995867,0.030590674,0.030895179,0.030874239,0.030543683,0.029931977,0.029078445,0.028030917,0.026842984,0.025570985,0.024270919,0.022995455,0.021791198,0.02069639,0.019739143,0.018936328,0.018293158,0.01780349,0.017450815,0.017209876,0.0170488,0.016931621,0.016821032,0.016681193,0.016480436,0.016193679,0.015804425,0.015306202,0.014703362,0.01401119,0.013255302,0.01247037,0.01169824,0.010985557,0.010381028,0.009932486,0.009683922
58C502EA,ebird22,0.000973646,0.000973646,0.000973646,0.002277647,0.004193658,0.006332534,0.008649363,0.011096865,0.013626861,0.016191704,0.018745596,0.021245746,0.023653316,0.025934126,0.028059098,0.030004435,0.031751555,0.033286788,0.034600895,0.035688432,0.036547037,0.037176678,0.037578927,0.037756317,0.037711808,0.037448432,0.0369691,0.036276621,0.035373903,0.034264325,0.032952257,0.031443688,0.029746896,0.027873127,0.025837217,0.023658099,0.021359153,0.018968353,0.016518184,0.0140453,0.011589944,0.00919511,0.006905507,0.004766328,0.002821915,0.001114341,0.000973646,0.000973646,0.000973646,0.000973646,0.000973646,0.000973646
9456DEDF,ebird22,0.062418056,0.062171953,0.060618254,0.057827745,0.053925258,0.049082961,0.043511151,0.037447063,0.031142354,0.024849938,0.018810953,0.013242551,0.008327239,0.004204327,0.000963964,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.001693363,0.003081631,0.004213618,0.004971512,0.005276627,0.005094486,0.004437068,0.003362088,0.001969362,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.000947362,0.001278557,0.004947164,0.009478166,0.014757361,0.020623627,0.026876158,0.033284095,0.039598009,0.0455626,0.050929913,0.055472303,0.058994439,0.061343653
87878948,ebird22,0.00952548,0.009485203,0.00984623,0.010687079,0.012059272,0.013982877,0.016443884,0.019393599,0.02275009,0.026401651,0.030212074,0.034027461,0.037684176,0.041017515,0.043870575,0.04610284,0.047597976,0.048270398,0.048070222,0.046986326,0.045047325,0.04232041,0.038908108,0.034943135,0.030581648,0.025995242,0.02136218,0.016858316,0.012648241,0.008877129,0.005663753,0.00309505,0.00122252,0.000987237,0.000987237,0.000987237,0.000987237,0.001600472,0.003060767,0.004702572,0.006393653,0.008010436,0.009445564,0.010614324,0.011459598,0.011955017,0.012106167,0.011949759,0.011550835,0.010998173,0.010398167,0.009867562
3558066B,ebird22,0.025082974,0.024760601,0.024402161,0.023982296,0.023475731,0.02285947,0.022114893,0.021229631,0.020199101,0.019027586,0.017728799,0.016325875,0.014850794,0.013343244,0.011848986,0.010417801,0.009101143,0.00794961,0.007010376,0.006324746,0.005925941,0.005837271,0.006070773,0.006626413,0.007491891,0.008643065,0.010044971,0.011653388,0.01341687,0.015279118,0.017181578,0.019066125,0.02087767,0.022566573,0.024090712,0.025417118,0.026523077,0.027396659,0.028036648,0.028451888,0.028660102,0.028686245,0.02856052,0.028316158,0.027987106,0.027605769,0.027200932,0.026795993,0.0264076,0.026044789,0.025708652,0.02539257
603194D3,ebird22,0.016846836,0.01719161,0.017712997,0.018387512,0.019181825,0.020054607,0.020958871,0.02184464,0.022661817,0.02336308,0.023906621,0.024258599,0.024395137,0.024303758,0.023984178,0.023448405,0.022720133,0.021833479,0.020831114,0.019761918,0.018678272,0.017633158,0.016677224,0.015855989,0.015207344,0.014759493,0.014529452,0.014522192,0.014730472,0.015135372,0.015707492,0.016408746,0.017194647,0.018016943,0.018826465,0.019575999,0.020223036,0.020732225,0.021077396,0.021243031,0.021225097,0.021031203,0.020680059,0.020200282,0.01962861,0.019007641,0.018383222,0.017801637,0.017306775,0.016937432,0.016724909,0.016691051
