AVIBASEID,yr_db,Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
7E327303,inat19,0.014381294,0.01410573,0.014060399,0.014256242,0.014691047,0.015349446,0.016203664,0.017214978,0.01833581,0.019512331,0.020687419,0.021803819,0.022807307,0.023649688,0.024291448,0.024703913,0.024870789,0.024788999,0.024468762,0.023932924,0.023215564,0.022359972,0.021416112,0.020437711,0.019479158,0.018592374,0.017823852,0.017212029,0.016785142,0.016559697,0.016539624,0.016716188,0.017068641,0.017565577,0.018166919,0.018826412,0.019494475,0.020121245,0.020659639,0.021068244,0.021313871,0.021373623,0.021236349,0.020903407,0.02038868,0.019717848,0.018926958,0.018060375,0.017168221,0.016303471,0.015518855,0.014863757
C25794D5,inat19,0.001052537,0.001717794,0.002927353,0.004745663,0.007206531,0.010309122,0.014015932,0.018252889,0.022911593,0.027853609,0.03291658,0.037921844,0.042683129,0.047015858,0.050746528,0.053721652,0.055815759,0.056937988,0.057036928,0.056103394,0.05417102,0.051314598,0.047646283,0.043309858,0.038473392,0.033320692,0.028042046,0.022824749,0.017843966,0.013254418,0.00918335,0.005725179,0.002938071,0.000987529,0.000987529,0.000987529,0.000987529,0.000987529,0.000987529,0.000987529,0.000987529,0.001462872,0.002140005,0.002627974,0.002884615,0.002898446,0.002689284,0.002306795,0.001827056,0.001347355,0.000987529,0.000987529
8EB0C1FA,inat19,0.02143131,0.022653211,0.023875602,0.025053563,0.026141463,0.027095288,0.027874913,0.028446211,0.028782875,0.028867847,0.028694271,0.028265919,0.027597066,0.026711813,0.025642904,0.024430095,0.023118166,0.021754701,0.020387733,0.019063412,0.017823807,0.016704971,0.015735367,0.014934752,0.01431356,0.013872819,0.01360461,0.013493009,0.013515474,0.013644583,0.01385,0.014100579,0.014366449,0.014620977,0.014842474,0.015015562,0.015132099,0.015191626,0.015201306,0.015175344,0.015133953,0.015101906,0.015106766,0.015176913,0.015339477,0.015618303,0.016032082,0.016592757,0.017304301,0.018161955,0.019151972,0.020251886
13E9F9B4,inat19,0.023554644,0.024039971,0.024195612,0.024013374,0.023505423,0.022703549,0.021657288,0.020431001,0.019100076,0.017746495,0.016453996,0.015303135,0.014366524,0.013704527,0.013361667,0.01336395,0.013717265,0.014406951,0.015398567,0.016639811,0.018063481,0.019591307,0.021138438,0.022618312,0.023947643,0.025051215,0.025866229,0.02634593,0.026462319,0.026207775,0.025595519,0.024658862,0.023449305,0.02203359,0.020489868,0.018903224,0.017360794,0.015946778,0.014737627,0.013797678,0.013175508,0.012901196,0.012984663,0.013415185,0.014162099,0.015176672,0.016395006,0.017741826,0.01913492,0.020489975,0.021725521,0.022767712
9BEECB7E,inat19,0.030789094,0.031136149,0.031389948,0.031538925,0.031568829,0.031463635,0.031206683,0.03078198,0.030175578,0.029376949,0.028380264,0.027185494,0.025799258,0.02423535,0.022514917,0.020666243,0.01872415,0.016729037,0.014725586,0.012761206,0.010884282,0.009142325,0.007580108,0.006237885,0.005149792,0.0043425,0.0038342,0.003633965,0.003741517,0.004147424,0.004833687,0.005774711,0.00693858,0.008288581,0.009784887,0.011386309,0.013052018,0.014743163,0.016424279,0.018064432,0.019638046,0.021125369,0.022512579,0.023791524,0.024959145,0.026016608,0.026968234,0.027820287,0.028579712,0.02925291,0.029844628,0.03035704
A5EC8BF5,inat19,0.011141788,0.008993665,0.007047618,0.005399829,0.004135122,0.003322196,0.003009695,0.003223368,0.003964457,0.005209427,0.006911051,0.009000785,0.011392312,0.013986042,0.016674331,0.019347103,0.021897579,0.02422777,0.026253442,0.027908265,0.029146916,0.029946976,0.030309505,0.03025829,0.029837809,0.029110036,0.0281503,0.027042419,0.025873421,0.024728159,0.023684129,0.022806811,0.022145788,0.021731892,0.021575516,0.021666212,0.021973585,0.022449423,0.023030942,0.023644947,0.024212662,0.024654935,0.02489751,0.024876056,0.024540629,0.023859329,0.022820901,0.021436128,0.019737932,0.01778015,0.01563506,0.013389787
C9ABA616,inat19,0.007169493,0.006823184,0.006753886,0.006958737,0.007425517,0.008133366,0.009053901,0.010152684,0.011390942,0.012727454,0.014120504,0.015529774,0.0169181,0.018252973,0.019507735,0.020662377,0.021703935,0.022626454,0.023430534,0.024122511,0.02471331,0.025217065,0.025649593,0.026026816,0.026363237,0.026670564,0.026956577,0.027224301,0.027471543,0.027690823,0.027869712,0.027991546,0.028036491,0.027982874,0.027808727,0.027493428,0.027019344,0.026373387,0.02554836,0.024544033,0.023367857,0.022035271,0.020569582,0.019001394,0.01736763,0.015710173,0.014074209,0.012506343,0.011052602,0.009756412,0.008656679,0.007786053
20C2214E,inat19,0.037833086,0.038531353,0.038790873,0.038584917,0.037904021,0.036756843,0.035170118,0.03318768,0.030868623,0.028284685,0.025516998,0.02265238,0.019779367,0.016984206,0.014347021,0.011938352,0.009816268,0.008024182,0.006589496,0.005523127,0.004819928,0.004459967,0.004410572,0.004629011,0.005065641,0.005667331,0.006380953,0.00715674,0.007951293,0.008730081,0.009469279,0.010156839,0.010792738,0.011388402,0.011965329,0.012553028,0.013186382,0.013902612,0.014738038,0.015724831,0.016887963,0.01824256,0.019791811,0.021525595,0.023419899,0.025437093,0.027527067,0.029629158,0.031674792,0.033590686,0.035302444,0.036738341
8F268682,inat19,0.050355363,0.046939935,0.042909865,0.038438198,0.03370967,0.028911071,0.02422167,0.019804251,0.015797251,0.012308441,0.009410488,0.007138624,0.005490549,0.004428513,0.003883468,0.003760978,0.003948553,0.004323928,0.004763792,0.005152437,0.005389793,0.005398377,0.005128725,0.004562978,0.003716409,0.002636795,0.00140166,0.000980771,0.000980771,0.000980771,0.000980771,0.000980771,0.000980771,0.000980771,0.000980771,0.002563726,0.00578439,0.009684021,0.014170322,0.019116092,0.024364674,0.02973715,0.0350409,0.040079053,0.044660305,0.048608557,0.051771832,0.054029981,0.055300735,0.055543772,0.054762574,0.053003963
866903B9,inat19,0.012375604,0.012321913,0.012322596,0.01234445,0.012358587,0.012342517,0.012281767,0.012170954,0.01201422,0.01182503,0.011625324,0.011444082,0.011315389,0.011276106,0.011363304,0.011611601,0.012050567,0.012702372,0.013579795,0.014684747,0.016007387,0.017525899,0.019206962,0.02100688,0.022873339,0.02474768,0.026567585,0.028270019,0.029794268,0.031084912,0.032094561,0.032786207,0.033135059,0.033129759,0.032772912,0.0320809,0.031082997,0.029819821,0.028341233,0.026703781,0.02496784,0.023194612,0.021443148,0.019767557,0.018214559,0.016821504,0.015614977,0.014610046,0.013810185,0.013207876,0.012785835,0.012518775
D201EB72,inat19,0.044693629,0.04434459,0.043496796,0.042171139,0.040402505,0.038238361,0.0357368,0.032964154,0.029992294,0.026895748,0.02374881,0.020622757,0.017583335,0.014688631,0.011987425,0.009518097,0.007308123,0.005374175,0.003722779,0.002351482,0.001250424,0.000992531,0.000992531,0.000992531,0.000992531,0.000992531,0.000992531,0.000992531,0.000992531,0.000992531,0.001470178,0.002415241,0.00354527,0.00487364,0.006412417,0.008170357,0.010150963,0.012350741,0.014757775,0.01735073,0.020098364,0.022959599,0.025884181,0.028813909,0.031684385,0.034427216,0.036972549,0.039251832,0.041200634,0.042761397,0.043885977,0.044537811
42393721,inat19,0.017139528,0.018039524,0.019090021,0.020245534,0.021453065,0.022654973,0.023792143,0.024807264,0.025648034,0.026270098,0.026639562,0.026734933,0.026548362,0.02608614,0.025368393,0.024428017,0.02330889,0.022063479,0.020749977,0.019429127,0.018160918,0.017001344,0.015999408,0.015194542,0.014614591,0.014274467,0.014175563,0.014305932,0.014641245,0.015146448,0.015778025,0.016486734,0.017220651,0.017928348,0.018562003,0.019080282,0.019450805,0.019652063,0.019674664,0.019521846,0.019209228,0.018763794,0.018222205,0.017628509,0.017031394,0.016481156,0.016026547,0.015711696,0.01557329,0.015638167,0.01592149,0.016425584
E0A04985,inat19,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.001231505,0.00536267,0.010387308,0.016156377,0.022473335,0.029103532,0.035785918,0.042246405,0.048212126,0.053425797,0.057659368,0.060726181,0.062490954,0.062877016,0.061870384,0.059520455,0.055937264,0.051285482,0.045775475,0.039651957,0.033180869,0.026635231,0.020280784,0.014362213,0.009090747,0.004633817,0.001107351,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.000942253,0.002612731,0.004383166,0.005888653,0.006982315,0.007557645,0.007555314,0.006967005,0.005836013,0.0042546,0.002358245
FED3756C,inat19,0.026988248,0.027124289,0.027096072,0.02691766,0.02660737,0.026186592,0.025678497,0.025106707,0.024494014,0.023861201,0.023226055,0.022602606,0.022000651,0.021425564,0.02087842,0.020356403,0.019853473,0.019361248,0.018870041,0.01836998,0.017852143,0.017309629,0.016738499,0.016138524,0.015513683,0.014872382,0.014227377,0.013595384,0.012996415,0.012452856,0.011988349,0.011626531,0.011389715,0.011297567,0.011365884,0.011605519,0.012021535,0.012612637,0.013370908,0.014281888,0.015324983,0.016474186,0.017699088,0.01896611,0.020239912,0.021484885,0.022666659,0.023753549,0.024717857,0.025536963,0.026194152,0.026679137
